Country,Latitude,Longitude,Regional indicator,Year,Happiness score,Whisker-high,Whisker-low,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Mexico,23.634501,-102.552784,Latin America and Caribbean,2020,6.465000153,6.559319973,6.370680332,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668
Middle East and North Africa,#N/A,#N/A,,2020,5.227158855,5.331752202,5.122565508,0.998306543,1.127260352,0.724121376,0.37586176,0.14317304,0.112388499
Moldova,47.411631,28.369885,Commonwealth of Independent States,2020,5.607500076,5.690360069,5.524640083,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744
Mongolia,46.862496,103.846656,East Asia,2020,5.456200123,5.535213947,5.377186298,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126
Montenegro,42.708678,19.37439,Central and Eastern Europe,2020,5.54610014,5.642112255,5.450088024,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111
Morocco,31.791702,-7.09262,Middle East and North Africa,2020,5.094799995,5.203875065,4.985724926,0.75862211,0.645208478,0.745096922,0.450054139,0.040032551,0.077385604
Namibia,-22.95764,18.49041,Sub-Saharan Africa,2020,4.571100235,4.690628052,4.451572418,0.84008199,1.245738149,0.40687117,0.444598973,0.076454483,0.054320343
Nepal,28.394857,84.124008,South Asia,2020,5.137199879,5.250276566,5.024123192,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,0.127502963
Netherlands,52.132633,5.291266,Western Europe,2020,7.448900223,7.503372192,7.394428253,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762
New Zealand,-40.900557,174.885971,North America and ANZ,2020,7.299600124,7.376952648,7.222247601,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276
Nicaragua,12.865416,-85.207229,Latin America and Caribbean,2020,6.13710022,6.262318611,6.011881828,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574
Niger,17.607789,8.081666,Sub-Saharan Africa,2020,4.909599781,5.060927868,4.758271694,0.108330332,0.703800142,0.298816353,0.435311615,0.208176896,0.137554765
Nigeria,9.081999,8.675277,Sub-Saharan Africa,2020,4.724100113,4.826248169,4.621952057,0.645901859,0.986717939,0.167835936,0.435079455,0.221328124,0.047589935
North America and ANZE,#N/A,#N/A,,2020,7.173524976,7.256348729,7.090701222,1.307087213,1.451135814,0.971216485,0.611825868,0.307592951,0.325312823
Norway,60.472024,8.468946,Western Europe,2020,7.487999916,7.55628109,7.419718742,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568
Pakistan,30.375321,69.345116,South Asia,2020,5.69329977,5.78780365,5.598795891,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121
Palestinian Territories,31.952162,35.233154,Middle East and North Africa,2020,4.552800179,4.662314892,4.443285465,0.587819219,1.194755554,0.613826573,0.29870075,0.091816261,0.071913652
Panama,8.537981,-80.782127,Latin America and Caribbean,2020,6.304800034,6.421860695,6.187739372,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526
Paraguay,-23.442503,-58.443832,Latin America and Caribbean,2020,5.692100048,5.793937683,5.590262413,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379
Peru,-9.189967,-75.015152,Latin America and Caribbean,2020,5.796800137,5.916970253,5.67663002,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266
Philippines,12.879721,121.774017,Southeast Asia,2020,6.006000042,6.103722572,5.908277512,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727
Poland,51.919438,19.145136,Central and Eastern Europe,2020,6.186299801,6.255880356,6.116719246,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251
Portugal,39.399872,-8.224454,Western Europe,2020,5.910900116,6.015089989,5.806710243,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466
Romania,45.943161,24.96676,Central and Eastern Europe,2020,6.123700142,6.216668129,6.030732155,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569
Russia,61.52401,105.318756,Commonwealth of Independent States,2020,5.546000004,5.623634815,5.468365192,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,0.045699362
Rwanda,-1.940278,29.873888,Sub-Saharan Africa,2020,3.312299967,3.415053368,3.209546566,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476
Saudi Arabia,23.885942,45.079162,Middle East and North Africa,2020,6.406499863,6.517305851,6.295693874,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315
Senegal,14.497401,-14.452362,Sub-Saharan Africa,2020,4.980800152,5.084227562,4.877372742,0.504061818,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937
Serbia,44.016521,21.005859,Central and Eastern Europe,2020,5.77820015,5.877596378,5.678803921,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147
Sierra Leone,8.460555,-11.779889,Sub-Saharan Africa,2020,3.926399946,4.046255589,3.806544304,0.240560383,0.747984946,0.203953966,0.382027686,0.257647008,0.047940936
Singapore,1.352083,103.819836,Southeast Asia,2020,6.377099991,6.442287445,6.311912537,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236
Slovakia,48.669026,19.699024,Central and Eastern Europe,2020,6.280600071,6.35683918,6.204360962,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441
Slovenia,46.151241,14.995463,Central and Eastern Europe,2020,6.363399982,6.449328899,6.277471066,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323
South Africa,-30.559482,22.937506,Sub-Saharan Africa,2020,4.814099789,4.931746006,4.696453571,0.902140439,1.259086251,0.407034069,0.43478182,0.126406848,0.05950214
South Asia,#N/A,#N/A,,2020,4.355083267,4.439406355,4.270760179,0.591045847,0.839690343,0.572068587,0.433322544,0.221899221,0.097181554
South Korea,35.907757,127.766922,East Asia,2020,5.872399807,5.958806515,5.785993099,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282
Southeast Asia,#N/A,#N/A,,2020,5.383366691,5.469875442,5.29685794,0.890820503,1.191914697,0.702407579,0.618563023,0.30606494,0.148924205
Spain,40.463667,-3.74922,Western Europe,2020,6.400899887,6.483808517,6.317991257,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779
Sri Lanka,7.873054,80.771797,South Asia,2020,4.327000141,4.431047916,4.222952366,0.897986948,1.19494009,0.792036712,0.528632462,0.252666146,0.049444564
Sub-Saharan Africa,#N/A,#N/A,,2020,4.416038226,4.549574116,4.282502336,0.450035277,0.864746891,0.37924715,0.386406071,0.19861862,0.106250271
Sweden,60.128161,18.643501,Western Europe,2020,7.353499889,7.424519062,7.282480717,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371
Switzerland,46.818188,8.227512,Western Europe,2020,7.559899807,7.628527641,7.491271973,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901
Taiwan,23.69781,120.960515,East Asia,2020,6.45539999,6.532113552,6.378686428,1.327470541,1.357760668,0.878437996,0.449404389,0.150598705,0.131516352
Tajikistan,38.861034,71.276093,Commonwealth of Independent States,2020,5.555699825,5.619050026,5.492349625,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,0.221779913
Tanzania,-6.369028,34.888822,Sub-Saharan Africa,2020,3.476200104,3.600091219,3.352308989,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861
Thailand,15.870032,100.992541,Southeast Asia,2020,5.998799801,6.082288742,5.91531086,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862
Togo,8.619543,0.824782,Sub-Saharan Africa,2020,4.187200069,4.309713364,4.064686775,0.268116266,0.547622859,0.342731178,0.303539038,0.200774252,0.114826456
